Localidad,Departamento,Provincia,Region,Anio,Poblacion Urbana
Gran Buenos Aires,NA,GBA,GBA,2010,13588171
Gran Buenos Aires,NA,GBA,GBA,2001,12053296
Gran Buenos Aires,NA,GBA,GBA,1991,11301472
Gran Buenos Aires,NA,GBA,GBA,1980,9969826
Gran Buenos Aires,NA,GBA,GBA,1970,8451495
Gran Buenos Aires,NA,GBA,GBA,1960,6775906
Gran Córdoba,NA,Córdoba,Centro,2010,1454536
Gran Córdoba,NA,Córdoba,Centro,2001,1373078
Gran Córdoba,NA,Córdoba,Centro,1991,1231976
Gran Córdoba,NA,Córdoba,Centro,1980,1018720
Gran Córdoba,NA,Córdoba,Centro,1970,820183
Gran Córdoba,NA,Córdoba,Centro,1960,598957
Gran Rosario,NA,Santa Fe,Pampeana,2010,1236089
Gran Rosario,NA,Santa Fe,Pampeana,2001,1161188
Gran Rosario,NA,Santa Fe,Pampeana,1991,1118905
Gran Rosario,NA,Santa Fe,Pampeana,1980,958587
Gran Rosario,NA,Santa Fe,Pampeana,1970,805838
Gran Rosario,NA,Santa Fe,Pampeana,1960,670232
Gran Mendoza,NA,Mendoza,Cuyo,2010,937154
Gran Mendoza,NA,Mendoza,Cuyo,2001,848660
Gran Mendoza,NA,Mendoza,Cuyo,1991,773113
Gran Mendoza,NA,Mendoza,Cuyo,1980,612777
Gran Mendoza,NA,Mendoza,Cuyo,1970,491723
Gran Mendoza,NA,Mendoza,Cuyo,1960,395171
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,2010,794327
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,2001,740601
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1991,623916
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1980,498579
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1970,360979
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1960,308754
Gran La Plata,NA,Buenos Aires,Pampeana,2010,787294
Gran La Plata,NA,Buenos Aires,Pampeana,2001,694253
Gran La Plata,NA,Buenos Aires,Pampeana,1991,642802
Gran La Plata,NA,Buenos Aires,Pampeana,1980,564750
Gran La Plata,NA,Buenos Aires,Pampeana,1970,493591
Gran La Plata,NA,Buenos Aires,Pampeana,1960,406538
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,2010,593337
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,2001,541951
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1991,512876
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1980,415309
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1970,304615
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1960,215573
Gran Salta,NA,Salta,Noroeste,2010,551056
Gran Salta,NA,Salta,Noroeste,2001,489876
Gran Salta,NA,Salta,Noroeste,1991,385776
Gran Salta,NA,Salta,Noroeste,1980,266865
Gran Salta,NA,Salta,Noroeste,1970,184626
Gran Salta,NA,Salta,Noroeste,1960,121638
Gran Santa Fe,La Capital,Santa Fe,Pampeana,2010,467675
